0;ID;Massnahme;Ebene1;Ebene2;Ebene3;Wert;Werttyp;Parametername R;...10
46;ID;R_001_Gründach;Nutzungsdauer;Hinweis;NA;NA;String;hinw3;NA
47;ID;R_001_Gründach;Entwicklungsstand;Stand der Wissenschaft und Technik;NA;0;Boolean;cbgentwicklungsstand;NA
48;ID;R_001_Gründach;Entwicklungsstand;Stand der Technik;NA;0;Boolean;cbgentwicklungsstand;NA
49;ID;R_001_Gründach;Entwicklungsstand;Allgemein annerkannter Stand der Technik;NA;0;Boolean;cbgentwicklungsstand;NA
50;ID;R_001_Gründach;Entwicklungsstand;Hinweis;NA;NA;String;hinw4;NA
51;ID;R_001_Gründach;Funktionsbeschreibung und Aufbau;NA;NA;NA;String;funktiontxt;NA
52;ID;R_001_Gründach;Systemskizze;NA;NA;./Systemskizzen/R_001_Gründachsys.PNG;String(Image);sysskizze;NA
53;ID;R_001_Gründach;Planung, Bemessung und rechtliche Aspekte;Fließtext;NA;NA;String;planbemtxt;NA
54;ID;R_001_Gründach;Planung, Bemessung und rechtliche Aspekte;b;NA;NA;String;planbemtab;NA
55;ID;R_001_Gründach;Planung, Bemessung und rechtliche Aspekte;b;NA;NA;String;planbemtab;NA
56;ID;R_001_Gründach;Planung, Bemessung und rechtliche Aspekte;b;NA;NA;String;planbemtab;NA
57;ID;R_001_Gründach;Planung, Bemessung und rechtliche Aspekte;b;NA;NA;String;planbemtab;NA
58;ID;R_001_Gründach;Planung, Bemessung und rechtliche Aspekte;b;NA;NA;String;planbemtab;NA
59;ID;R_001_Gründach;Planung, Bemessung und rechtliche Aspekte;b;NA;NA;String;planbemtab;NA
60;ID;R_001_Gründach;Planung, Bemessung und rechtliche Aspekte;b;NA;NA;String;planbemtab;NA
61;ID;R_001_Gründach;Planung, Bemessung und rechtliche Aspekte;b;NA;NA;String;planbemtab;NA
62;ID;R_001_Gründach;Planung, Bemessung und rechtliche Aspekte;b;NA;NA;String;planbemtab;NA
63;ID;R_001_Gründach;Planung, Bemessung und rechtliche Aspekte;b;NA;NA;String;planbemtab;NA
64;ID;R_001_Gründach;Aufwand und Kosten;Fließtext;NA;NA;String;aufwandtxt;NA
65;ID;R_001_Gründach;Aufwand und Kosten;Investitionskosten;Einheit;NA;String;inve;NA
66;ID;R_001_Gründach;Aufwand und Kosten;Investitionskosten;min;NA;String;invmin;NA
67;ID;R_001_Gründach;Aufwand und Kosten;Investitionskosten;max;NA;String;invmax;NA
68;ID;R_001_Gründach;Aufwand und Kosten;Investitionskosten;üblich;NA;String;invueblich;NA
69;ID;R_001_Gründach;Aufwand und Kosten;Betriebskosten1;Einheit;NA;String;bet1e;NA
70;ID;R_001_Gründach;Aufwand und Kosten;Betriebskosten1;min;NA;String;bet1min;NA
71;ID;R_001_Gründach;Aufwand und Kosten;Betriebskosten1;max;NA;String;bet1max;NA
72;ID;R_001_Gründach;Aufwand und Kosten;Betriebskosten1;üblich;NA;String;bet1ueblich;NA
73;ID;R_001_Gründach;Aufwand und Kosten;Betriebskosten2;Einheit;NA;String;bet2e;NA
74;ID;R_001_Gründach;Aufwand und Kosten;Betriebskosten2;min;NA;String;bet2min;NA
75;ID;R_001_Gründach;Aufwand und Kosten;Betriebskosten2;max;NA;String;bet2max;NA
76;ID;R_001_Gründach;Aufwand und Kosten;Betriebskosten2;üblich;NA;String;bet2ueblich;NA
77;ID;R_001_Gründach;Weitergehende Hinweise;Fließtext;NA;NA;String;whinwtxt;NA
78;ID;R_001_Gründach;Weitergehende Hinweise;Parameter;NA;NA;String;whinw;fließtext + freie Anzahl an Zeilen mit Paramterspalte und Wertespalte
79;ID;R_001_Gründach;Weitergehende Hinweise;Parameter;NA;NA;String;whinw;NA
80;ID;R_001_Gründach;Weitergehende Hinweise;Parameter;NA;NA;String;whinw;NA
81;ID;R_001_Gründach;Weitergehende Hinweise;Parameter;NA;NA;String;whinw;NA
82;ID;R_001_Gründach;Weitergehende Hinweise;Parameter;NA;NA;String;whinw;NA
83;ID;R_001_Gründach;Weitergehende Hinweise;Parameter;NA;NA;String;whinw;NA
84;ID;R_001_Gründach;Weitergehende Hinweise;Parameter;NA;NA;String;whinw;NA
85;ID;R_001_Gründach;Weitergehende Hinweise;Parameter;NA;NA;String;whinw;NA
86;ID;R_001_Gründach;Weitergehende Hinweise;Parameter;NA;NA;String;whinw;NA
87;ID;R_001_Gründach;Weitergehende Hinweise;Parameter;NA;NA;String;whinw;NA
88;ID;R_001_Gründach;Weitergehende Hinweise;Wert;NA;NA;String;whinw;NA
89;ID;R_001_Gründach;Weitergehende Hinweise;Wert;NA;NA;String;whinw;NA
90;ID;R_001_Gründach;Weitergehende Hinweise;Wert;NA;NA;String;whinw;NA
91;ID;R_001_Gründach;Weitergehende Hinweise;Wert;NA;NA;String;whinw;NA
92;ID;R_001_Gründach;Weitergehende Hinweise;Wert;NA;NA;String;whinw;NA
93;ID;R_001_Gründach;Weitergehende Hinweise;Wert;NA;NA;String;whinw;NA
94;ID;R_001_Gründach;Weitergehende Hinweise;Wert;NA;NA;String;whinw;NA
95;ID;R_001_Gründach;Weitergehende Hinweise;Wert;NA;NA;String;whinw;NA
96;ID;R_001_Gründach;Weitergehende Hinweise;Wert;NA;NA;String;whinw;NA
97;ID;R_001_Gründach;Weitergehende Hinweise;Wert;NA;NA;String;whinw;NA
98;ID;R_001_Gründach;Ressourcenübergreifende Aspekte;Synergien;Regenwasser;NA;String;synregenwasser;NA
99;ID;R_001_Gründach;Ressourcenübergreifende Aspekte;Synergien;Schmutzwasser;NA;String;synschmutzwasser;NA
100;ID;R_001_Gründach;Ressourcenübergreifende Aspekte;Synergien;Baustoffe;NA;String;synbaustoffe;NA
101;ID;R_001_Gründach;Ressourcenübergreifende Aspekte;Synergien;Energie;NA;String;sysnenergie;NA
102;ID;R_001_Gründach;Ressourcenübergreifende Aspekte;Synergien;Fläche;NA;String;synflaeche;NA
103;ID;R_001_Gründach;Ressourcenübergreifende Aspekte;Synergien;Ökobilanz;NA;String;synoekobilanz;NA
104;ID;R_001_Gründach;Ressourcenübergreifende Aspekte;Zielkonflikte;Regenwasser;NA;String;konfregenwasser;NA
105;ID;R_001_Gründach;Ressourcenübergreifende Aspekte;Zielkonflikte;Schmutzwasser;NA;String;konfschmutzwasser;NA
106;ID;R_001_Gründach;Ressourcenübergreifende Aspekte;Zielkonflikte;Baustoffe;NA;String;konfbaustoffe;NA
107;ID;R_001_Gründach;Ressourcenübergreifende Aspekte;Zielkonflikte;Energie;NA;String;konfenergie;NA
108;ID;R_001_Gründach;Ressourcenübergreifende Aspekte;Zielkonflikte;Fläche;NA;String;konfflaeche;NA
109;ID;R_001_Gründach;Ressourcenübergreifende Aspekte;Zielkonflikte;Ökobilanz;NA;String;konfoekobilanz;NA
110;ID;R_001_Gründach;Kombinationsmöglichkeiten;1;NA;NA;String;selkombi1;NA
111;ID;R_001_Gründach;Kombinationsmöglichkeiten;2;NA;NA;String;selkombi2;NA
112;ID;R_001_Gründach;Kombinationsmöglichkeiten;3;NA;NA;String;selkombi3;NA
113;ID;R_001_Gründach;Kombinationsmöglichkeiten;4;NA;NA;String;selkombi4;NA
114;ID;R_001_Gründach;Kombinationsmöglichkeiten;5;NA;NA;String;selkombi5;NA
115;ID;R_001_Gründach;Kombinationsmöglichkeiten;6;NA;NA;String;selkombi6;NA
116;ID;R_001_Gründach;Kombinationsmöglichkeiten;7;NA;NA;String;selkombi7;NA
117;ID;R_001_Gründach;Kombinationsmöglichkeiten;8;NA;NA;String;selkombi8;NA
118;ID;R_001_Gründach;Kombinationsmöglichkeiten;9;NA;NA;String;selkombi9;NA
119;ID;R_001_Gründach;Kombinationsmöglichkeiten;10;NA;NA;String;selkombi10;NA
120;ID;R_001_Gründach;Vor- und Nachteile;Vorteile;1;NA;String;vornach;NA
121;ID;R_001_Gründach;Vor- und Nachteile;Vorteile;2;NA;String;vornach;NA
122;ID;R_001_Gründach;Vor- und Nachteile;Vorteile;3;NA;String;vornach;NA
123;ID;R_001_Gründach;Vor- und Nachteile;Vorteile;4;NA;String;vornach;NA
124;ID;R_001_Gründach;Vor- und Nachteile;Vorteile;5;NA;String;vornach;NA
125;ID;R_001_Gründach;Vor- und Nachteile;Vorteile;6;NA;String;vornach;NA
126;ID;R_001_Gründach;Vor- und Nachteile;Vorteile;7;NA;String;vornach;NA
