"0";"ID";"Massnahme";"Ebene1";"Ebene2";"Ebene3";"Wert";"Werttyp";"Parametername R";"...10"
57;"ID";"R_003_Flächenversickerung";"Planung, Bemessung und rechtliche Aspekte";"Normen/Regelwerke";"NA";"NA";"String";"planbemtab";NA
58;"ID";"R_003_Flächenversickerung";"Planung, Bemessung und rechtliche Aspekte";"Normen/Regelwerke";"NA";"NA";"String";"planbemtab";NA
59;"ID";"R_003_Flächenversickerung";"Planung, Bemessung und rechtliche Aspekte";"Titel/Inhalt";"NA";"NA";"String";"planbemtab";NA
60;"ID";"R_003_Flächenversickerung";"Planung, Bemessung und rechtliche Aspekte";"Titel/Inhalt";"NA";"NA";"String";"planbemtab";NA
61;"ID";"R_003_Flächenversickerung";"Planung, Bemessung und rechtliche Aspekte";"Titel/Inhalt";"NA";"NA";"String";"planbemtab";NA
62;"ID";"R_003_Flächenversickerung";"Planung, Bemessung und rechtliche Aspekte";"Titel/Inhalt";"NA";"NA";"String";"planbemtab";NA
63;"ID";"R_003_Flächenversickerung";"Planung, Bemessung und rechtliche Aspekte";"Titel/Inhalt";"NA";"NA";"String";"planbemtab";NA
64;"ID";"R_003_Flächenversickerung";"Aufwand und Kosten";"Fließtext";"NA";"NA";"String";"aufwandtxt";NA
65;"ID";"R_003_Flächenversickerung";"Aufwand und Kosten";"Investitionskosten";"Einheit";"NA";"String";"inve";NA
66;"ID";"R_003_Flächenversickerung";"Aufwand und Kosten";"Investitionskosten";"min";"NA";"String";"invmin";NA
67;"ID";"R_003_Flächenversickerung";"Aufwand und Kosten";"Investitionskosten";"max";"NA";"String";"invmax";NA
68;"ID";"R_003_Flächenversickerung";"Aufwand und Kosten";"Investitionskosten";"üblich";"NA";"String";"invueblich";NA
69;"ID";"R_003_Flächenversickerung";"Aufwand und Kosten";"Betriebskosten1";"Einheit";"NA";"String";"bet1e";NA
70;"ID";"R_003_Flächenversickerung";"Aufwand und Kosten";"Betriebskosten1";"min";"NA";"String";"bet1min";NA
71;"ID";"R_003_Flächenversickerung";"Aufwand und Kosten";"Betriebskosten1";"max";"NA";"String";"bet1max";NA
72;"ID";"R_003_Flächenversickerung";"Aufwand und Kosten";"Betriebskosten1";"üblich";"NA";"String";"bet1ueblich";NA
73;"ID";"R_003_Flächenversickerung";"Aufwand und Kosten";"Betriebskosten2";"Einheit";"NA";"String";"bet2e";NA
74;"ID";"R_003_Flächenversickerung";"Aufwand und Kosten";"Betriebskosten2";"min";"NA";"String";"bet2min";NA
75;"ID";"R_003_Flächenversickerung";"Aufwand und Kosten";"Betriebskosten2";"max";"NA";"String";"bet2max";NA
76;"ID";"R_003_Flächenversickerung";"Aufwand und Kosten";"Betriebskosten2";"üblich";"NA";"String";"bet2ueblich";NA
77;"ID";"R_003_Flächenversickerung";"Weitergehende Hinweise";"Fließtext";"NA";"NA";"String";"whinwtxt";NA
78;"ID";"R_003_Flächenversickerung";"Weitergehende Hinweise";"Parameter";"NA";"NA";"String";"whinw";"fließtext + freie Anzahl an Zeilen mit Paramterspalte und Wertespalte"
79;"ID";"R_003_Flächenversickerung";"Weitergehende Hinweise";"Parameter";"NA";"NA";"String";"whinw";NA
80;"ID";"R_003_Flächenversickerung";"Weitergehende Hinweise";"Parameter";"NA";"NA";"String";"whinw";NA
81;"ID";"R_003_Flächenversickerung";"Weitergehende Hinweise";"Parameter";"NA";"NA";"String";"whinw";NA
82;"ID";"R_003_Flächenversickerung";"Weitergehende Hinweise";"Parameter";"NA";"NA";"String";"whinw";NA
83;"ID";"R_003_Flächenversickerung";"Weitergehende Hinweise";"Parameter";"NA";"NA";"String";"whinw";NA
84;"ID";"R_003_Flächenversickerung";"Weitergehende Hinweise";"Parameter";"NA";"NA";"String";"whinw";NA
85;"ID";"R_003_Flächenversickerung";"Weitergehende Hinweise";"Parameter";"NA";"NA";"String";"whinw";NA
86;"ID";"R_003_Flächenversickerung";"Weitergehende Hinweise";"Parameter";"NA";"NA";"String";"whinw";NA
87;"ID";"R_003_Flächenversickerung";"Weitergehende Hinweise";"Parameter";"NA";"NA";"String";"whinw";NA
88;"ID";"R_003_Flächenversickerung";"Weitergehende Hinweise";"Wert";"NA";"NA";"String";"whinw";NA
89;"ID";"R_003_Flächenversickerung";"Weitergehende Hinweise";"Wert";"NA";"NA";"String";"whinw";NA
90;"ID";"R_003_Flächenversickerung";"Weitergehende Hinweise";"Wert";"NA";"NA";"String";"whinw";NA
91;"ID";"R_003_Flächenversickerung";"Weitergehende Hinweise";"Wert";"NA";"NA";"String";"whinw";NA
92;"ID";"R_003_Flächenversickerung";"Weitergehende Hinweise";"Wert";"NA";"NA";"String";"whinw";NA
93;"ID";"R_003_Flächenversickerung";"Weitergehende Hinweise";"Wert";"NA";"NA";"String";"whinw";NA
94;"ID";"R_003_Flächenversickerung";"Weitergehende Hinweise";"Wert";"NA";"NA";"String";"whinw";NA
95;"ID";"R_003_Flächenversickerung";"Weitergehende Hinweise";"Wert";"NA";"NA";"String";"whinw";NA
96;"ID";"R_003_Flächenversickerung";"Weitergehende Hinweise";"Wert";"NA";"NA";"String";"whinw";NA
97;"ID";"R_003_Flächenversickerung";"Weitergehende Hinweise";"Wert";"NA";"NA";"String";"whinw";NA
98;"ID";"R_003_Flächenversickerung";"Ressourcenübergreifende Aspekte";"Synergien";"Niederschlagswasser";"ghndjmfmysthydth";"String";"synniederschlagswasser";NA
99;"ID";"R_003_Flächenversickerung";"Ressourcenübergreifende Aspekte";"Synergien";"Schmutzwasser";"NA";"String";"synschmutzwasser";NA
100;"ID";"R_003_Flächenversickerung";"Ressourcenübergreifende Aspekte";"Synergien";"Baustoffe";"NA";"String";"synbaustoffe";NA
101;"ID";"R_003_Flächenversickerung";"Ressourcenübergreifende Aspekte";"Synergien";"Energie";"NA";"String";"sysnenergie";NA
102;"ID";"R_003_Flächenversickerung";"Ressourcenübergreifende Aspekte";"Synergien";"Fläche";"NA";"String";"synflaeche";NA
103;"ID";"R_003_Flächenversickerung";"Ressourcenübergreifende Aspekte";"Synergien";"Ökobilanz";"NA";"String";"synoekobilanz";NA
104;"ID";"R_003_Flächenversickerung";"Ressourcenübergreifende Aspekte";"Zielkonflikte";"Niederschlagswasser";"yxcvbnm,.,mnbvcxy";"String";"konfniederschlagswasser";NA
105;"ID";"R_003_Flächenversickerung";"Ressourcenübergreifende Aspekte";"Zielkonflikte";"Schmutzwasser";"NA";"String";"konfschmutzwasser";NA
106;"ID";"R_003_Flächenversickerung";"Ressourcenübergreifende Aspekte";"Zielkonflikte";"Baustoffe";"NA";"String";"konfbaustoffe";NA
107;"ID";"R_003_Flächenversickerung";"Ressourcenübergreifende Aspekte";"Zielkonflikte";"Energie";"NA";"String";"konfenergie";NA
108;"ID";"R_003_Flächenversickerung";"Ressourcenübergreifende Aspekte";"Zielkonflikte";"Fläche";"NA";"String";"konfflaeche";NA
109;"ID";"R_003_Flächenversickerung";"Ressourcenübergreifende Aspekte";"Zielkonflikte";"Ökobilanz";"NA";"String";"konfoekobilanz";NA
110;"ID";"R_003_Flächenversickerung";"Kombinationsmöglichkeiten";"1";"NA";"NA";"String";"selkombi1";NA
111;"ID";"R_003_Flächenversickerung";"Kombinationsmöglichkeiten";"2";"NA";"NA";"String";"selkombi2";NA
112;"ID";"R_003_Flächenversickerung";"Kombinationsmöglichkeiten";"3";"NA";"NA";"String";"selkombi3";NA
113;"ID";"R_003_Flächenversickerung";"Kombinationsmöglichkeiten";"4";"NA";"NA";"String";"selkombi4";NA
114;"ID";"R_003_Flächenversickerung";"Kombinationsmöglichkeiten";"5";"NA";"NA";"String";"selkombi5";NA
115;"ID";"R_003_Flächenversickerung";"Kombinationsmöglichkeiten";"6";"NA";"NA";"String";"selkombi6";NA
116;"ID";"R_003_Flächenversickerung";"Kombinationsmöglichkeiten";"7";"NA";"NA";"String";"selkombi7";NA
117;"ID";"R_003_Flächenversickerung";"Kombinationsmöglichkeiten";"8";"NA";"NA";"String";"selkombi8";NA
118;"ID";"R_003_Flächenversickerung";"Kombinationsmöglichkeiten";"9";"NA";"NA";"String";"selkombi9";NA
119;"ID";"R_003_Flächenversickerung";"Kombinationsmöglichkeiten";"10";"NA";"NA";"String";"selkombi10";NA
120;"ID";"R_003_Flächenversickerung";"Vor- und Nachteile";"Vorteile";"1";"NA";"String";"vornach";NA
121;"ID";"R_003_Flächenversickerung";"Vor- und Nachteile";"Vorteile";"2";"NA";"String";"vornach";NA
122;"ID";"R_003_Flächenversickerung";"Vor- und Nachteile";"Vorteile";"3";"NA";"String";"vornach";NA
123;"ID";"R_003_Flächenversickerung";"Vor- und Nachteile";"Vorteile";"4";"NA";"String";"vornach";NA
124;"ID";"R_003_Flächenversickerung";"Vor- und Nachteile";"Vorteile";"5";"NA";"String";"vornach";NA
125;"ID";"R_003_Flächenversickerung";"Vor- und Nachteile";"Vorteile";"6";"NA";"String";"vornach";NA
126;"ID";"R_003_Flächenversickerung";"Vor- und Nachteile";"Vorteile";"7";"NA";"String";"vornach";NA
127;"ID";"R_003_Flächenversickerung";"Vor- und Nachteile";"Vorteile";"8";"NA";"String";"vornach";NA
128;"ID";"R_003_Flächenversickerung";"Vor- und Nachteile";"Vorteile";"9";"NA";"String";"vornach";NA
129;"ID";"R_003_Flächenversickerung";"Vor- und Nachteile";"Vorteile";"10";"NA";"String";"vornach";NA
130;"ID";"R_003_Flächenversickerung";"Vor- und Nachteile";"Nachteile";"1";"NA";"String";"vornach";NA
131;"ID";"R_003_Flächenversickerung";"Vor- und Nachteile";"Nachteile";"2";"NA";"String";"vornach";NA
132;"ID";"R_003_Flächenversickerung";"Vor- und Nachteile";"Nachteile";"3";"NA";"String";"vornach";NA
133;"ID";"R_003_Flächenversickerung";"Vor- und Nachteile";"Nachteile";"4";"NA";"String";"vornach";NA
134;"ID";"R_003_Flächenversickerung";"Vor- und Nachteile";"Nachteile";"5";"NA";"String";"vornach";NA
135;"ID";"R_003_Flächenversickerung";"Vor- und Nachteile";"Nachteile";"6";"NA";"String";"vornach";NA
136;"ID";"R_003_Flächenversickerung";"Vor- und Nachteile";"Nachteile";"7";"NA";"String";"vornach";NA
137;"ID";"R_003_Flächenversickerung";"Vor- und Nachteile";"Nachteile";"8";"NA";"String";"vornach";NA
138;"ID";"R_003_Flächenversickerung";"Vor- und Nachteile";"Nachteile";"9";"NA";"String";"vornach";NA
139;"ID";"R_003_Flächenversickerung";"Vor- und Nachteile";"Nachteile";"10";"NA";"String";"vornach";NA
140;"ID";"R_003_Flächenversickerung";"Fallbeispiele";"1";"Projektname";"NA";"String";"fallbsp";NA
141;"ID";"R_003_Flächenversickerung";"Fallbeispiele";"1";"Stadt";"NA";"String";"fallbsp";NA
142;"ID";"R_003_Flächenversickerung";"Fallbeispiele";"1";"Land";"NA";"String";"fallbsp";NA
143;"ID";"R_003_Flächenversickerung";"Fallbeispiele";"1";"Erläuterung";"NA";"String";"fallbsp";NA
144;"ID";"R_003_Flächenversickerung";"Fallbeispiele";"2";"Projektname";"NA";"String";"fallbsp";NA
145;"ID";"R_003_Flächenversickerung";"Fallbeispiele";"2";"Stadt";"NA";"String";"fallbsp";NA
146;"ID";"R_003_Flächenversickerung";"Fallbeispiele";"2";"Land";"NA";"String";"fallbsp";NA
147;"ID";"R_003_Flächenversickerung";"Fallbeispiele";"2";"Erläuterung";"NA";"String";"fallbsp";NA
148;"ID";"R_003_Flächenversickerung";"Fallbeispiele";"3";"Projektname";"NA";"String";"fallbsp";NA
149;"ID";"R_003_Flächenversickerung";"Fallbeispiele";"3";"Stadt";"NA";"String";"fallbsp";NA
150;"ID";"R_003_Flächenversickerung";"Fallbeispiele";"3";"Land";"NA";"String";"fallbsp";NA
151;"ID";"R_003_Flächenversickerung";"Fallbeispiele";"3";"Erläuterung";"NA";"String";"fallbsp";NA
152;"ID";"R_003_Flächenversickerung";"Literatur";"Struktur noch unklar";"Struktur noch unklar";"NA";"String";"noch in arbeit";NA
