"0";"ID";"Massnahme";"Ebene1";"Ebene2";"Ebene3";"Wert";"Werttyp";"Parametername R";"...10"
29;"ID";"N_001_Fassadenbegrünung";"Wirkung/Funktion";"Schmutzwasser";"Nährstoffrückgewinnung";"0";"Boolean";"cbgschmutzwasser";NA
30;"ID";"N_001_Fassadenbegrünung";"Wirkung/Funktion";"Energie";"Elektrizität";"0";"Boolean";"cbgenergie";NA
31;"ID";"N_001_Fassadenbegrünung";"Wirkung/Funktion";"Energie";"Wärme";"0";"Boolean";"cbgenergie";NA
32;"ID";"N_001_Fassadenbegrünung";"Wirkung/Funktion";"Energie";"Brennstoffe";"0";"Boolean";"cbgenergie";NA
33;"ID";"N_001_Fassadenbegrünung";"Wirkung/Funktion";"Energie";"Erzeugung";"0";"Boolean";"cbgenergie";NA
34;"ID";"N_001_Fassadenbegrünung";"Wirkung/Funktion";"Energie";"Verteilung";"0";"Boolean";"cbgenergie";NA
35;"ID";"N_001_Fassadenbegrünung";"Wirkung/Funktion";"Energie";"Verbrauch";"0";"Boolean";"cbgenergie";NA
36;"ID";"N_001_Fassadenbegrünung";"Anwendungsebene";"Gebäudeebene";"NA";"0";"Boolean";"cbgAnwendungsebene";NA
37;"ID";"N_001_Fassadenbegrünung";"Anwendungsebene";"Grundstücksebene";"NA";"0";"Boolean";"cbgAnwendungsebene";NA
38;"ID";"N_001_Fassadenbegrünung";"Anwendungsebene";"Quartiersebene";"NA";"0";"Boolean";"cbgAnwendungsebene";NA
39;"ID";"N_001_Fassadenbegrünung";"Anwendungsebene";"Hinweis";"NA";"NA";"String";"hinw1";NA
40;"ID";"N_001_Fassadenbegrünung";"Flächenbedarf";"m²/EW";"NA";"NA";"Integer";"flaechenbedEW";NA
41;"ID";"N_001_Fassadenbegrünung";"Flächenbedarf";"XX";"NA";"NA";"Integer";"flaechenbedEinheit";NA
42;"ID";"N_001_Fassadenbegrünung";"Flächenbedarf";"m²/XX";"NA";"NA";"Integer";"fleachenbedXX";NA
