"0";"ID";"Massnahme";"Ebene1";"Ebene2";"Ebene3";"Wert";"Werttyp";"Parametername R";"...10"
39;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Flächenbedarf";"m²/EW";"NA";"NA";"Integer";"flaechenbedEW";NA
40;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Flächenbedarf";"XX";"NA";"NA";"Integer";"flaechenbedEinheit";NA
41;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Flächenbedarf";"m²/XX";"NA";"NA";"Integer";"fleachenbedXX";NA
42;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Flächenbedarf";"Hinweis";"NA";"NA";"String";"hinw2";NA
43;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Nutzungsdauer";"min";"NA";"NA";"Integer";"nutzdmin";NA
44;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Nutzungsdauer";"max";"NA";"NA";"Integer";"nutzdmax";NA
45;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Nutzungsdauer";"üblich";"NA";"NA";"Integer";"nutzdueblich";NA
46;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Nutzungsdauer";"Hinweis";"NA";"NA";"String";"hinw3";NA
47;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Entwicklungsstand";"Stand der Wissenschaft und Technik";"NA";"0";"Boolean";"cbgentwicklungsstand";NA
48;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Entwicklungsstand";"Stand der Technik";"NA";"0";"Boolean";"cbgentwicklungsstand";NA
49;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Entwicklungsstand";"Allgemein annerkannter Stand der Technik";"NA";"0";"Boolean";"cbgentwicklungsstand";NA
50;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Entwicklungsstand";"Hinweis";"NA";"NA";"String";"hinw4";NA
51;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Funktionsbeschreibung und Aufbau";"NA";"NA";"NA";"String";"funktiontxt";NA
52;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Systemskizze";"NA";"NA";"./Systemskizzen/S_008_(dezentrale) Abwasserwärmenutzungsys.PNG";"String(Image)";"sysskizze";NA
53;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Planung, Bemessung und rechtliche Aspekte";"Fließtext";"NA";"NA";"String";"planbemtxt";NA
54;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Planung, Bemessung und rechtliche Aspekte";"Normen/Regelwerke";"NA";"NA";"String";"planbemtab";NA
55;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Planung, Bemessung und rechtliche Aspekte";"Normen/Regelwerke";"NA";"NA";"String";"planbemtab";NA
56;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Planung, Bemessung und rechtliche Aspekte";"Normen/Regelwerke";"NA";"NA";"String";"planbemtab";NA
57;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Planung, Bemessung und rechtliche Aspekte";"Normen/Regelwerke";"NA";"NA";"String";"planbemtab";NA
58;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Planung, Bemessung und rechtliche Aspekte";"Normen/Regelwerke";"NA";"NA";"String";"planbemtab";NA
59;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Planung, Bemessung und rechtliche Aspekte";"Titel/Inhalt";"NA";"NA";"String";"planbemtab";NA
60;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Planung, Bemessung und rechtliche Aspekte";"Titel/Inhalt";"NA";"NA";"String";"planbemtab";NA
61;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Planung, Bemessung und rechtliche Aspekte";"Titel/Inhalt";"NA";"NA";"String";"planbemtab";NA
62;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Planung, Bemessung und rechtliche Aspekte";"Titel/Inhalt";"NA";"NA";"String";"planbemtab";NA
63;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Planung, Bemessung und rechtliche Aspekte";"Titel/Inhalt";"NA";"NA";"String";"planbemtab";NA
64;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Aufwand und Kosten";"Fließtext";"NA";"NA";"String";"aufwandtxt";NA
65;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Aufwand und Kosten";"Investitionskosten";"Einheit";"NA";"String";"inve";NA
66;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Aufwand und Kosten";"Investitionskosten";"min";"NA";"String";"invmin";NA
67;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Aufwand und Kosten";"Investitionskosten";"max";"NA";"String";"invmax";NA
68;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Aufwand und Kosten";"Investitionskosten";"üblich";"NA";"String";"invueblich";NA
69;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Aufwand und Kosten";"Betriebskosten1";"Einheit";"NA";"String";"bet1e";NA
70;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Aufwand und Kosten";"Betriebskosten1";"min";"NA";"String";"bet1min";NA
71;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Aufwand und Kosten";"Betriebskosten1";"max";"NA";"String";"bet1max";NA
72;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Aufwand und Kosten";"Betriebskosten1";"üblich";"NA";"String";"bet1ueblich";NA
73;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Aufwand und Kosten";"Betriebskosten2";"Einheit";"NA";"String";"bet2e";NA
74;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Aufwand und Kosten";"Betriebskosten2";"min";"NA";"String";"bet2min";NA
75;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Aufwand und Kosten";"Betriebskosten2";"max";"NA";"String";"bet2max";NA
