"0";"ID";"Massnahme";"Ebene1";"Ebene2";"Ebene3";"Wert";"Werttyp";"Parametername R";"...10"
43;"ID";"B_005_Kreislauf-Aspekte";"Nutzungsdauer";"min";"NA";"NA";"Integer";"nutzdmin";NA
44;"ID";"B_005_Kreislauf-Aspekte";"Nutzungsdauer";"max";"NA";"NA";"Integer";"nutzdmax";NA
45;"ID";"B_005_Kreislauf-Aspekte";"Nutzungsdauer";"üblich";"NA";"NA";"Integer";"nutzdueblich";NA
46;"ID";"B_005_Kreislauf-Aspekte";"Nutzungsdauer";"Hinweis";"NA";"NA";"String";"hinw3";NA
47;"ID";"B_005_Kreislauf-Aspekte";"Entwicklungsstand";"Stand der Wissenschaft und Technik";"NA";"0";"Boolean";"cbgentwicklungsstand";NA
48;"ID";"B_005_Kreislauf-Aspekte";"Entwicklungsstand";"Stand der Technik";"NA";"0";"Boolean";"cbgentwicklungsstand";NA
49;"ID";"B_005_Kreislauf-Aspekte";"Entwicklungsstand";"Allgemein annerkannter Stand der Technik";"NA";"0";"Boolean";"cbgentwicklungsstand";NA
50;"ID";"B_005_Kreislauf-Aspekte";"Entwicklungsstand";"Hinweis";"NA";"NA";"String";"hinw4";NA
51;"ID";"B_005_Kreislauf-Aspekte";"Funktionsbeschreibung und Aufbau";"NA";"NA";"NA";"String";"funktiontxt";NA
52;"ID";"B_005_Kreislauf-Aspekte";"Systemskizze";"NA";"NA";"./Systemskizzen/B_005_Kreislauf-Aspektesys.PNG";"String(Image)";"sysskizze";NA
53;"ID";"B_005_Kreislauf-Aspekte";"Planung, Bemessung und rechtliche Aspekte";"Fließtext";"NA";"NA";"String";"planbemtxt";NA
54;"ID";"B_005_Kreislauf-Aspekte";"Planung, Bemessung und rechtliche Aspekte";"Normen/Regelwerke";"NA";"NA";"String";"planbemtab";NA
55;"ID";"B_005_Kreislauf-Aspekte";"Planung, Bemessung und rechtliche Aspekte";"Normen/Regelwerke";"NA";"NA";"String";"planbemtab";NA
56;"ID";"B_005_Kreislauf-Aspekte";"Planung, Bemessung und rechtliche Aspekte";"Normen/Regelwerke";"NA";"NA";"String";"planbemtab";NA
57;"ID";"B_005_Kreislauf-Aspekte";"Planung, Bemessung und rechtliche Aspekte";"Normen/Regelwerke";"NA";"NA";"String";"planbemtab";NA
58;"ID";"B_005_Kreislauf-Aspekte";"Planung, Bemessung und rechtliche Aspekte";"Normen/Regelwerke";"NA";"NA";"String";"planbemtab";NA
59;"ID";"B_005_Kreislauf-Aspekte";"Planung, Bemessung und rechtliche Aspekte";"Titel/Inhalt";"NA";"NA";"String";"planbemtab";NA
60;"ID";"B_005_Kreislauf-Aspekte";"Planung, Bemessung und rechtliche Aspekte";"Titel/Inhalt";"NA";"NA";"String";"planbemtab";NA
61;"ID";"B_005_Kreislauf-Aspekte";"Planung, Bemessung und rechtliche Aspekte";"Titel/Inhalt";"NA";"NA";"String";"planbemtab";NA
62;"ID";"B_005_Kreislauf-Aspekte";"Planung, Bemessung und rechtliche Aspekte";"Titel/Inhalt";"NA";"NA";"String";"planbemtab";NA
63;"ID";"B_005_Kreislauf-Aspekte";"Planung, Bemessung und rechtliche Aspekte";"Titel/Inhalt";"NA";"NA";"String";"planbemtab";NA
64;"ID";"B_005_Kreislauf-Aspekte";"Aufwand und Kosten";"Fließtext";"NA";"NA";"String";"aufwandtxt";NA
65;"ID";"B_005_Kreislauf-Aspekte";"Aufwand und Kosten";"Investitionskosten";"Einheit";"NA";"String";"inve";NA
66;"ID";"B_005_Kreislauf-Aspekte";"Aufwand und Kosten";"Investitionskosten";"min";"NA";"String";"invmin";NA
67;"ID";"B_005_Kreislauf-Aspekte";"Aufwand und Kosten";"Investitionskosten";"max";"NA";"String";"invmax";NA
68;"ID";"B_005_Kreislauf-Aspekte";"Aufwand und Kosten";"Investitionskosten";"üblich";"NA";"String";"invueblich";NA
69;"ID";"B_005_Kreislauf-Aspekte";"Aufwand und Kosten";"Betriebskosten1";"Einheit";"NA";"String";"bet1e";NA
